French,English
partie,part
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
arrivé,come
devrait,should
bébé,baby
longtemps,long time
vont,will
revoir,meet again
aucune,any
place,square
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
donner,give
type,type
leurs,their
donné,given
train,train
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
enfant,child
point,point
suite,after
pardon,sorry
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
bureau,office
